"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 03 15:39:40 GMT 2024","Wed Jan 03 15:39:51 GMT 2024","11428","","My Account page tests","","","","should display My Account input error messages",""
"passed","Wed Jan 03 15:39:50 GMT 2024","Wed Jan 03 15:39:50 GMT 2024","24","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Wed Jan 03 15:39:41 GMT 2024","Wed Jan 03 15:39:43 GMT 2024","1940","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"unknown","Wed Jan 03 15:39:33 GMT 2024","Wed Jan 03 15:39:50 GMT 2024","17405","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Wed Jan 03 15:39:19 GMT 2024","Wed Jan 03 15:39:20 GMT 2024","1678","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"passed","Wed Jan 03 15:39:11 GMT 2024","Wed Jan 03 15:39:11 GMT 2024","27","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"passed","Wed Jan 03 15:39:09 GMT 2024","Wed Jan 03 15:39:11 GMT 2024","2198","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Wed Jan 03 15:39:19 GMT 2024","Wed Jan 03 15:39:19 GMT 2024","22","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"passed","Wed Jan 03 15:39:49 GMT 2024","Wed Jan 03 15:39:50 GMT 2024","1921","","Transactions","","","","should allow to comment Transaction",""
"passed","Wed Jan 03 15:39:05 GMT 2024","Wed Jan 03 15:39:07 GMT 2024","1779","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Wed Jan 03 15:39:47 GMT 2024","Wed Jan 03 15:39:48 GMT 2024","1645","","Transactions","","","","should display Transactions list",""
"passed","Wed Jan 03 15:39:36 GMT 2024","Wed Jan 03 15:39:39 GMT 2024","2888","","Transactions","","","","should allow making another payment right away",""
"passed","Wed Jan 03 15:39:17 GMT 2024","Wed Jan 03 15:39:19 GMT 2024","1617","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Wed Jan 03 15:39:09 GMT 2024","Wed Jan 03 15:39:14 GMT 2024","4922","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"failed","Wed Jan 03 15:39:27 GMT 2024","Wed Jan 03 15:39:40 GMT 2024","13062","","My Account page tests","","","","should display My Account helper texts",""
"unknown","Wed Jan 03 15:39:11 GMT 2024","Wed Jan 03 15:39:23 GMT 2024","11751","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Wed Jan 03 15:39:39 GMT 2024","Wed Jan 03 15:39:41 GMT 2024","2510","","Transactions","","","","should allow making new payment request",""
"unknown","Wed Jan 03 15:39:14 GMT 2024","Wed Jan 03 15:39:20 GMT 2024","6842","","User Sign-up Login and Logout","","","","should display login errors",""
"unknown","Wed Jan 03 15:39:45 GMT 2024","Wed Jan 03 15:39:50 GMT 2024","5420","","Transactions","","","","should display Transaction detail",""
"passed","Wed Jan 03 15:39:07 GMT 2024","Wed Jan 03 15:39:09 GMT 2024","1939","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"unknown","Wed Jan 03 15:39:15 GMT 2024","Wed Jan 03 15:39:20 GMT 2024","5316","","User Sign-up Login and Logout","","","","should display signup errors",""
"passed","Wed Jan 03 15:39:49 GMT 2024","Wed Jan 03 15:39:50 GMT 2024","1032","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Wed Jan 03 15:39:05 GMT 2024","Wed Jan 03 15:39:09 GMT 2024","3885","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Wed Jan 03 15:39:31 GMT 2024","Wed Jan 03 15:39:33 GMT 2024","2450","","Transactions","","","","should allow making new payment",""
