"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 04 09:41:43 GMT 2024","Thu Jan 04 09:41:53 GMT 2024","10168","","My Account page tests","","","","should display My Account helper texts",""
"broken","Thu Jan 04 09:41:18 GMT 2024","Thu Jan 04 09:41:28 GMT 2024","10232","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"broken","Thu Jan 04 09:42:19 GMT 2024","Thu Jan 04 09:42:29 GMT 2024","10020","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Thu Jan 04 09:41:28 GMT 2024","Thu Jan 04 09:41:28 GMT 2024","21","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"broken","Thu Jan 04 09:41:48 GMT 2024","Thu Jan 04 09:41:58 GMT 2024","10156","","User Sign-up Login and Logout","","","","should display signup errors",""
"broken","Thu Jan 04 09:41:38 GMT 2024","Thu Jan 04 09:41:48 GMT 2024","10138","","User Sign-up Login and Logout","","","","should display login errors",""
"broken","Thu Jan 04 09:41:53 GMT 2024","Thu Jan 04 09:42:03 GMT 2024","10027","","My Account page tests","","","","should display My Account input error messages",""
"unknown","Thu Jan 04 09:41:17 GMT 2024","Thu Jan 04 09:42:18 GMT 2024","61166","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"broken","Thu Jan 04 09:41:17 GMT 2024","Thu Jan 04 09:41:27 GMT 2024","10214","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"broken","Thu Jan 04 09:42:08 GMT 2024","Thu Jan 04 09:42:19 GMT 2024","10159","","Transactions","","","","""before each"" hook for Transactions",""
"broken","Thu Jan 04 09:41:28 GMT 2024","Thu Jan 04 09:41:38 GMT 2024","10135","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"broken","Thu Jan 04 09:42:08 GMT 2024","Thu Jan 04 09:42:18 GMT 2024","10184","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"broken","Thu Jan 04 09:41:28 GMT 2024","Thu Jan 04 09:41:28 GMT 2024","222","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"broken","Thu Jan 04 09:41:58 GMT 2024","Thu Jan 04 09:42:08 GMT 2024","10142","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Thu Jan 04 09:42:08 GMT 2024","Thu Jan 04 09:42:08 GMT 2024","39","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"unknown","Thu Jan 04 09:41:27 GMT 2024","Thu Jan 04 09:42:18 GMT 2024","50764","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"broken","Thu Jan 04 09:42:08 GMT 2024","Thu Jan 04 09:42:19 GMT 2024","10161","","Transactions","","","","should allow making new payment",""
