"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 11:59:20 GMT 2024","Thu Jan 04 11:59:22 GMT 2024","2000","","Transactions","","","","should allow making new payment request",""
"passed","Thu Jan 04 11:59:01 GMT 2024","Thu Jan 04 11:59:01 GMT 2024","21","","User Sign-up Login and Logout","","","","should display signup errors",""
"unknown","Thu Jan 04 11:58:53 GMT 2024","Thu Jan 04 11:59:06 GMT 2024","12827","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"passed","Thu Jan 04 11:59:22 GMT 2024","Thu Jan 04 11:59:24 GMT 2024","1687","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"unknown","Thu Jan 04 11:59:15 GMT 2024","Thu Jan 04 11:59:29 GMT 2024","13963","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Thu Jan 04 11:58:55 GMT 2024","Thu Jan 04 11:58:57 GMT 2024","2138","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Thu Jan 04 11:59:24 GMT 2024","Thu Jan 04 11:59:26 GMT 2024","1368","","Transactions","","","","should display Transactions list",""
"unknown","Thu Jan 04 11:58:57 GMT 2024","Thu Jan 04 11:58:59 GMT 2024","1858","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Thu Jan 04 11:59:27 GMT 2024","Thu Jan 04 11:59:29 GMT 2024","1794","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Thu Jan 04 11:58:57 GMT 2024","Thu Jan 04 11:58:57 GMT 2024","16","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"unknown","Thu Jan 04 11:58:59 GMT 2024","Thu Jan 04 11:59:06 GMT 2024","6718","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Thu Jan 04 11:59:18 GMT 2024","Thu Jan 04 11:59:20 GMT 2024","2776","","Transactions","","","","should allow making another payment right away",""
"passed","Thu Jan 04 11:59:13 GMT 2024","Thu Jan 04 11:59:15 GMT 2024","2403","","Transactions","","","","should allow making new payment",""
"unknown","Thu Jan 04 11:59:27 GMT 2024","Thu Jan 04 11:59:29 GMT 2024","1851","","Transactions","","","","should allow to comment Transaction",""
"passed","Thu Jan 04 11:59:03 GMT 2024","Thu Jan 04 11:59:03 GMT 2024","29","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Thu Jan 04 11:59:26 GMT 2024","Thu Jan 04 11:59:27 GMT 2024","843","","Transactions","","","","should display Transaction detail",""
"passed","Thu Jan 04 11:59:08 GMT 2024","Thu Jan 04 11:59:11 GMT 2024","3243","","My Account page tests","","","","should display My Account helper texts",""
"unknown","Thu Jan 04 11:58:55 GMT 2024","Thu Jan 04 11:59:06 GMT 2024","10873","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"unknown","Thu Jan 04 11:59:11 GMT 2024","Thu Jan 04 11:59:12 GMT 2024","1078","","My Account page tests","","","","should display My Account input error messages",""
"passed","Thu Jan 04 11:58:51 GMT 2024","Thu Jan 04 11:58:55 GMT 2024","3838","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Thu Jan 04 11:59:29 GMT 2024","Thu Jan 04 11:59:29 GMT 2024","14","","Transactions","","","","""after each"" hook for Transactions",""
"unknown","Thu Jan 04 11:58:51 GMT 2024","Thu Jan 04 11:59:06 GMT 2024","14725","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Thu Jan 04 11:59:04 GMT 2024","Thu Jan 04 11:59:04 GMT 2024","82","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"passed","Thu Jan 04 11:59:04 GMT 2024","Thu Jan 04 11:59:04 GMT 2024","75","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
