"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 11:50:44 GMT 2024","Thu Jan 04 11:50:47 GMT 2024","2802","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Thu Jan 04 11:50:54 GMT 2024","Thu Jan 04 11:50:54 GMT 2024","22","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Thu Jan 04 11:50:56 GMT 2024","Thu Jan 04 11:50:56 GMT 2024","97","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"unknown","Thu Jan 04 11:50:52 GMT 2024","Thu Jan 04 11:50:58 GMT 2024","5475","","User Sign-up Login and Logout","","","","should display signup errors",""
"passed","Thu Jan 04 11:51:20 GMT 2024","Thu Jan 04 11:51:22 GMT 2024","1860","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Thu Jan 04 11:51:22 GMT 2024","Thu Jan 04 11:51:22 GMT 2024","19","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Thu Jan 04 11:51:13 GMT 2024","Thu Jan 04 11:51:15 GMT 2024","2143","","Transactions","","","","should allow making new payment request",""
"passed","Thu Jan 04 11:50:59 GMT 2024","Thu Jan 04 11:51:02 GMT 2024","3290","","My Account page tests","","","","should display My Account helper texts",""
"passed","Thu Jan 04 11:50:47 GMT 2024","Thu Jan 04 11:50:49 GMT 2024","2146","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Thu Jan 04 11:51:05 GMT 2024","Thu Jan 04 11:51:07 GMT 2024","2383","","Transactions","","","","should allow making new payment",""
"passed","Thu Jan 04 11:51:17 GMT 2024","Thu Jan 04 11:51:19 GMT 2024","1432","","Transactions","","","","should display Transactions list",""
"passed","Thu Jan 04 11:50:56 GMT 2024","Thu Jan 04 11:50:56 GMT 2024","88","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"passed","Thu Jan 04 11:51:10 GMT 2024","Thu Jan 04 11:51:13 GMT 2024","2922","","Transactions","","","","should allow making another payment right away",""
"unknown","Thu Jan 04 11:51:08 GMT 2024","Thu Jan 04 11:51:22 GMT 2024","14638","","Transactions","","","","should allow to return to transactions list after making payment",""
"unknown","Thu Jan 04 11:51:20 GMT 2024","Thu Jan 04 11:51:22 GMT 2024","1931","","Transactions","","","","should allow to comment Transaction",""
"passed","Thu Jan 04 11:51:15 GMT 2024","Thu Jan 04 11:51:17 GMT 2024","1779","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"unknown","Thu Jan 04 11:51:02 GMT 2024","Thu Jan 04 11:51:04 GMT 2024","1304","","My Account page tests","","","","should display My Account input error messages",""
"unknown","Thu Jan 04 11:50:51 GMT 2024","Thu Jan 04 11:50:58 GMT 2024","6986","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Thu Jan 04 11:50:49 GMT 2024","Thu Jan 04 11:50:49 GMT 2024","19","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"unknown","Thu Jan 04 11:50:44 GMT 2024","Thu Jan 04 11:50:58 GMT 2024","13914","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Thu Jan 04 11:51:19 GMT 2024","Thu Jan 04 11:51:20 GMT 2024","1674","","Transactions","","","","should display Transaction detail",""
"unknown","Thu Jan 04 11:50:44 GMT 2024","Thu Jan 04 11:50:58 GMT 2024","13125","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"unknown","Thu Jan 04 11:50:46 GMT 2024","Thu Jan 04 11:50:58 GMT 2024","11276","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"unknown","Thu Jan 04 11:50:49 GMT 2024","Thu Jan 04 11:50:51 GMT 2024","1253","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
