"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 08:53:38 GMT 2024","Thu Jan 04 08:53:40 GMT 2024","1308","","My Account page tests","","","","should display My Account input error messages",""
"passed","Thu Jan 04 08:53:22 GMT 2024","Thu Jan 04 08:53:24 GMT 2024","1858","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"passed","Thu Jan 04 08:53:50 GMT 2024","Thu Jan 04 08:53:53 GMT 2024","2192","","Transactions","","","","should allow making new payment request",""
"passed","Thu Jan 04 08:53:34 GMT 2024","Thu Jan 04 08:53:36 GMT 2024","2073","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"passed","Thu Jan 04 08:53:58 GMT 2024","Thu Jan 04 08:53:59 GMT 2024","1753","","Transactions","","","","""before each"" hook for Transactions",""
"passed","Thu Jan 04 08:53:56 GMT 2024","Thu Jan 04 08:53:58 GMT 2024","1704","","Transactions","","","","should display Transaction detail",""
"passed","Thu Jan 04 08:53:59 GMT 2024","Thu Jan 04 08:53:59 GMT 2024","17","","Transactions","","","","""after each"" hook for Transactions",""
"passed","Thu Jan 04 08:53:24 GMT 2024","Thu Jan 04 08:53:26 GMT 2024","2186","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Thu Jan 04 08:53:21 GMT 2024","Thu Jan 04 08:53:22 GMT 2024","954","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"unknown","Thu Jan 04 08:53:58 GMT 2024","Thu Jan 04 08:54:00 GMT 2024","1816","","Transactions","","","","should allow to comment Transaction",""
"passed","Thu Jan 04 08:53:24 GMT 2024","Thu Jan 04 08:53:28 GMT 2024","4122","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"passed","Thu Jan 04 08:53:54 GMT 2024","Thu Jan 04 08:53:56 GMT 2024","1515","","Transactions","","","","should display Transactions list",""
"passed","Thu Jan 04 08:53:21 GMT 2024","Thu Jan 04 08:53:24 GMT 2024","2780","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Thu Jan 04 08:53:26 GMT 2024","Thu Jan 04 08:53:26 GMT 2024","19","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"passed","Thu Jan 04 08:53:43 GMT 2024","Thu Jan 04 08:53:45 GMT 2024","2330","","Transactions","","","","should allow making new payment",""
"passed","Thu Jan 04 08:53:34 GMT 2024","Thu Jan 04 08:53:34 GMT 2024","16","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"unknown","Thu Jan 04 08:53:28 GMT 2024","Thu Jan 04 08:53:36 GMT 2024","7866","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Thu Jan 04 08:53:48 GMT 2024","Thu Jan 04 08:53:50 GMT 2024","2627","","Transactions","","","","should allow making another payment right away",""
"unknown","Thu Jan 04 08:53:45 GMT 2024","Thu Jan 04 08:54:00 GMT 2024","14310","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Thu Jan 04 08:53:32 GMT 2024","Thu Jan 04 08:53:34 GMT 2024","2106","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"unknown","Thu Jan 04 08:53:26 GMT 2024","Thu Jan 04 08:53:28 GMT 2024","1293","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Thu Jan 04 08:53:53 GMT 2024","Thu Jan 04 08:53:54 GMT 2024","1714","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"passed","Thu Jan 04 08:53:35 GMT 2024","Thu Jan 04 08:53:38 GMT 2024","3082","","My Account page tests","","","","should display My Account helper texts",""
"unknown","Thu Jan 04 08:53:30 GMT 2024","Thu Jan 04 08:53:36 GMT 2024","6376","","User Sign-up Login and Logout","","","","should display signup errors",""
