"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 03 15:45:03 GMT 2024","Wed Jan 03 15:45:16 GMT 2024","12966","","My Account page tests","","","","should display My Account helper texts",""
"unknown","Wed Jan 03 15:45:08 GMT 2024","Wed Jan 03 15:45:25 GMT 2024","16967","","Transactions","","","","should allow to return to transactions list after making payment",""
"passed","Wed Jan 03 15:44:53 GMT 2024","Wed Jan 03 15:44:55 GMT 2024","1572","","User Sign-up Login and Logout","","","","should error for an invalid user",""
"passed","Wed Jan 03 15:45:14 GMT 2024","Wed Jan 03 15:45:16 GMT 2024","2222","","Transactions","","","","should allow making new payment request",""
"unknown","Wed Jan 03 15:44:51 GMT 2024","Wed Jan 03 15:44:56 GMT 2024","4658","","User Sign-up Login and Logout","","","","should display signup errors",""
"failed","Wed Jan 03 15:45:16 GMT 2024","Wed Jan 03 15:45:27 GMT 2024","11347","","My Account page tests","","","","should display My Account input error messages",""
"passed","Wed Jan 03 15:44:42 GMT 2024","Wed Jan 03 15:44:44 GMT 2024","2050","","User Sign-up Login and Logout","","","","should redirect unauthenticated user to signin page",""
"passed","Wed Jan 03 15:45:22 GMT 2024","Wed Jan 03 15:45:23 GMT 2024","1521","","Transactions","","","","should display Transactions list",""
"passed","Wed Jan 03 15:44:55 GMT 2024","Wed Jan 03 15:44:55 GMT 2024","20","","User Sign-up Login and Logout","","","","""before each"" hook for User Sign-up Login and Logout",""
"passed","Wed Jan 03 15:45:25 GMT 2024","Wed Jan 03 15:45:25 GMT 2024","21","","Transactions","","","","""after each"" hook for Transactions",""
"unknown","Wed Jan 03 15:44:50 GMT 2024","Wed Jan 03 15:44:56 GMT 2024","5724","","User Sign-up Login and Logout","","","","should display login errors",""
"passed","Wed Jan 03 15:44:42 GMT 2024","Wed Jan 03 15:44:46 GMT 2024","4038","","Managing Bank accounts","","","","Should allow to create a new Bank Account",""
"passed","Wed Jan 03 15:45:20 GMT 2024","Wed Jan 03 15:45:22 GMT 2024","1715","","Transactions","","","","should display Transaction detail",""
"unknown","Wed Jan 03 15:44:48 GMT 2024","Wed Jan 03 15:44:59 GMT 2024","11402","","Managing Bank accounts","","","","Should display helper messages, when creating new Bank Account",""
"passed","Wed Jan 03 15:44:48 GMT 2024","Wed Jan 03 15:44:48 GMT 2024","19","","Managing Bank accounts","","","","""before each"" hook for Managing Bank accounts",""
"passed","Wed Jan 03 15:45:06 GMT 2024","Wed Jan 03 15:45:08 GMT 2024","2425","","Transactions","","","","should allow making new payment",""
"passed","Wed Jan 03 15:45:23 GMT 2024","Wed Jan 03 15:45:24 GMT 2024","1012","","Transactions","","","","should allow to comment Transaction",""
"passed","Wed Jan 03 15:44:44 GMT 2024","Wed Jan 03 15:44:46 GMT 2024","2517","","User Sign-up Login and Logout","","","","should redirect to the home page after login",""
"passed","Wed Jan 03 15:44:55 GMT 2024","Wed Jan 03 15:44:56 GMT 2024","1133","","User Sign-up Login and Logout","","","","should error for an invalid password for existing user",""
"passed","Wed Jan 03 15:44:46 GMT 2024","Wed Jan 03 15:44:48 GMT 2024","1951","","Managing Bank accounts","","","","Should allow to delete an existing Bank Account",""
"passed","Wed Jan 03 15:45:11 GMT 2024","Wed Jan 03 15:45:14 GMT 2024","2965","","Transactions","","","","should allow making another payment right away",""
"passed","Wed Jan 03 15:44:46 GMT 2024","Wed Jan 03 15:44:50 GMT 2024","3801","","User Sign-up Login and Logout","","","","should allow a visitor to sign-up, login, and logout",""
"passed","Wed Jan 03 15:45:16 GMT 2024","Wed Jan 03 15:45:18 GMT 2024","2169","","Transactions","","","","should display helper messages for Amount and Note input fields",""
"passed","Wed Jan 03 15:45:23 GMT 2024","Wed Jan 03 15:45:24 GMT 2024","612","","Transactions","","","","""before each"" hook for Transactions",""
